Bellevue RanchArrow Wood Dr.,	10:46
Mammoth Lakes Rd.,	6:01
Mammoth Lakes Rd.,	6:58
Mammoth Lakes Rd.,	6:02
Mammoth Lakes Rd.,	8:15
Mammoth Lakes Rd.,	6:03
Mammoth Lakes Rd.,	9:12
Mammoth Lakes Rd.,	6:04
Mammoth Lakes Rd.,	10:09
Mammoth Lakes Rd.,	6:05
Mammoth Lakes Rd.,	11:26
Mammoth Lakes Rd.,	6:06
Mammoth Lakes Rd.,	12:23
Mammoth Lakes Rd.,	6:07
Mammoth Lakes Rd.,	1:20
Mammoth Lakes Rd.,	6:08
Mammoth Lakes Rd.,	2:37
Mammoth Lakes Rd.,	6:09
Mammoth Lakes Rd.,	3:34
Mammoth Lakes Rd.,	6:10
Mammoth Lakes Rd.,	4:31
Mammoth Lakes Rd.,	6:11
Mammoth Lakes Rd.,	5:48
Mammoth Lakes Rd.,	6:12
Mammoth Lakes Rd.,	6:45
Mammoth Lakes Rd.,	6:13
Mammoth Lakes Rd.,	7:42
Mammoth Lakes Rd.,	6:14
Mammoth Lakes Rd.,	8:39
Mammoth Lakes Rd.,	6:15
Mammoth Lakes Rd.,	9:36
Mammoth Lakes Rd.,	6:16
Mammoth Lakes Rd.,	10:53
Student Activities & Athletics Center,	6:06
Student Activities & Athletics Center,	7:23
Student Activities & Athletics Center,	6:07
Student Activities & Athletics Center,	8:20
Student Activities & Athletics Center,	6:08
Student Activities & Athletics Center,	9:17
Student Activities & Athletics Center,	6:09
Student Activities & Athletics Center,	10:34
Student Activities & Athletics Center,	6:10
Student Activities & Athletics Center,	11:31
Student Activities & Athletics Center,	6:11
Student Activities & Athletics Center,	12:28
Student Activities & Athletics Center,	6:12
Student Activities & Athletics Center,	1:45
Student Activities & Athletics Center,	6:13
Student Activities & Athletics Center,	2:42
Student Activities & Athletics Center,	6:14
Student Activities & Athletics Center,	3:39
Student Activities & Athletics Center,	6:15
Student Activities & Athletics Center,	4:56
Student Activities & Athletics Center,	6:16
Student Activities & Athletics Center,	5:53
Student Activities & Athletics Center,	6:17
Student Activities & Athletics Center,	6:50
Student Activities & Athletics Center,	6:18
Student Activities & Athletics Center,	7:47
Student Activities & Athletics Center,	6:19
Student Activities & Athletics Center,	8:44
Student Activities & Athletics Center,	6:20
Student Activities & Athletics Center,	10:01
Student Activities & Athletics Center,	6:21
Student Activities & Athletics Center,	10:58
Emigrant PassScholars Lane,	6:08
Emigrant PassScholars Lane,	7:25
Emigrant PassScholars Lane,	6:09
Emigrant PassScholars Lane,	8:22
Emigrant PassScholars Lane,	6:10
Emigrant PassScholars Lane,	9:19
Emigrant PassScholars Lane,	6:11
Emigrant PassScholars Lane,	10:36
Emigrant PassScholars Lane,	6:12
Emigrant PassScholars Lane,	11:33
Emigrant PassScholars Lane,	6:13
Emigrant PassScholars Lane,	12:30
Emigrant PassScholars Lane,	6:14
Emigrant PassScholars Lane,	1:47
Emigrant PassScholars Lane,	6:15
Emigrant PassScholars Lane,	2:44
Emigrant PassScholars Lane,	6:16
Emigrant PassScholars Lane,	3:41
Emigrant PassScholars Lane,	6:17
Emigrant PassScholars Lane,	4:58
Emigrant PassScholars Lane,	6:18
Emigrant PassScholars Lane,	5:55
Emigrant PassScholars Lane,	6:19
Emigrant PassScholars Lane,	6:52
Emigrant PassScholars Lane,	6:20
Emigrant PassScholars Lane,	7:49
Emigrant PassScholars Lane,	6:21
Emigrant PassScholars Lane,	8:46
Emigrant PassScholars Lane,	6:22
Emigrant PassScholars Lane,	10:03
Emigrant PassScholars Lane,	6:23
Emigrant PassScholars Lane,	11:00
R Street Village Apts.,	6:22
R Street Village Apts.,	7:39
R Street Village Apts.,	6:23
R Street Village Apts.,	8:36
R Street Village Apts.,	6:24
R Street Village Apts.,	9:33
R Street Village Apts.,	6:25
R Street Village Apts.,	10:50
R Street Village Apts.,	6:26
R Street Village Apts.,	11:47
R Street Village Apts.,	6:27
R Street Village Apts.,	12:44
R Street Village Apts.,	6:28
R Street Village Apts.,	2:01
R Street Village Apts.,	6:29
R Street Village Apts.,	2:58
R Street Village Apts.,	6:30
R Street Village Apts.,	3:55
R Street Village Apts.,	6:31
R Street Village Apts.,	5:12
R Street Village Apts.,	6:32
R Street Village Apts.,	6:09
R Street Village Apts.,	6:33
R Street Village Apts.,	7:06
R Street Village Apts.,	6:34
R Street Village Apts.,	8:03
R Street Village Apts.,	6:35
R Street Village Apts.,	9:00
R Street Village Apts.,	6:36
R Street Village Apts.,	10:17
R Street Village Apts.,	6:37
R Street Village Apts.,	11:14
